threshold,model,net_benefit,treat_all
0.4700000000000001,M1,0.020306210159913525,-0.5250934034603963
0.4800000000000001,M1,0.020922244196939718,-0.5544221227577117
0.49000000000000005,M1,0.02078413683921922,-0.5849009879098236
0.5000000000000001,M1,0.018493459630130795,-0.6165990076680203
0.05,M3,0.15438121691237566,0.14915841701683166
0.060000000000000005,M3,0.1496079616886918,0.14010691081488305
0.07,M3,0.14363108142845363,0.13086074856558072
0.08000000000000002,M3,0.13645545292306485,0.12141358278911964
0.09000000000000001,M3,0.13006389190421666,0.1117587869955935
0.1,M3,0.1241918508494963,0.10188944018443341
0.11000000000000001,M3,0.11881122885973047,0.09179831029886525
0.12000000000000001,M3,0.1118833804896051,0.08147783655226144
0.13,M3,0.11034897526428486,0.07092011053562076
0.14,M3,0.10641868856930065,0.060116856006965175
0.15000000000000002,M3,0.10111703680118866,0.04905940725410596
0.16000000000000003,M3,0.09695641901325255,0.037738685911892916
0.17000000000000004,M3,0.0910923803468271,0.026145176103602452
0.18000000000000005,M3,0.08803370848322825,0.014268897763402483
0.19,M3,0.08366884400563546,0.0020993779827038206
0.2,M3,0.08096526838069464,-0.010374379792512406
0.21000000000000002,M3,0.07658313492403351,-0.023163928903810027
0.22000000000000003,M3,0.07093207499161491,-0.036281415171807635
0.23000000000000004,M3,0.06721379657780198,-0.04973961536884408
0.24000000000000005,M3,0.06433539871329201,-0.06355197872896048
0.25000000000000006,M3,0.06119380544279055,-0.07773267177867996
0.26000000000000006,M3,0.059405819892964666,-0.09229662680271619
0.27,M3,0.05610444819297952,-0.10725959429316431
0.28,M3,0.05515461334135217,-0.1226381997694583
0.29000000000000004,M3,0.051154014751567584,-0.13845000540001404
0.30000000000000004,M3,0.049616599007668016,-0.15471357690572854
0.31000000000000005,M3,0.047694691220019216,-0.17144855628117392
0.32000000000000006,M3,0.04322216031202737,-0.18867574093236764
0.33,M3,0.042063027218440935,-0.20641716990150746
0.34,M3,0.04044504585776575,-0.22469621793031816
0.35000000000000003,M3,0.04063009611047499,-0.2435376982061692
0.36000000000000004,M3,0.0391294542174109,-0.2629679747406406
0.37000000000000005,M3,0.036242312291026764,-0.28301508545080956
0.38000000000000006,M3,0.03298558063061095,-0.3037088771516291
0.39000000000000007,M3,0.03032454136072228,-0.325081153826246
0.4000000000000001,M3,0.026161479476770395,-0.34716583972335013
0.4100000000000001,M3,0.02389853443728353,-0.36999915904069514
0.42000000000000004,M3,0.024232809170516227,-0.393619834196569
0.43000000000000005,M3,0.022276032887812675,-0.4180693049719474
0.44000000000000006,M3,0.0208131967265932,-0.4433919711321608
0.45000000000000007,M3,0.01738631237954647,-0.4696354615163819
0.4600000000000001,M3,0.017507810020214162,-0.4968509330259445
0.4700000000000001,M3,0.014953064229240594,-0.5250934034603963
0.4800000000000001,M3,0.014121647409874736,-0.5544221227577117
0.49000000000000005,M3,0.015097243227466896,-0.5849009879098236
0.5000000000000001,M3,0.01172755976544879,-0.6165990076680203
0.05,M1+,0.15741993685160127,0.14915841701683166
0.060000000000000005,M1+,0.15044290252305684,0.14010691081488305
0.07,M1+,0.14801557854506478,0.13086074856558072
0.08000000000000002,M1+,0.14355474495499204,0.12141358278911964
0.09000000000000001,M1+,0.13860429151362846,0.1117587869955935
0.1,M1+,0.13511752618653838,0.10188944018443341
0.11000000000000001,M1+,0.13096957625701294,0.09179831029886525
0.12000000000000001,M1+,0.1257432238487719,0.08147783655226144
0.13,M1+,0.12557613840801746,0.07092011053562076
0.14,M1+,0.12152395338347442,0.060116856006965175
0.15000000000000002,M1+,0.11772665764546683,0.04905940725410596
0.16000000000000003,M1+,0.11639495671971992,0.037738685911892916
0.17000000000000004,M1+,0.11079772404910573,0.026145176103602452
0.18000000000000005,M1+,0.10631814031266157,0.014268897763402483
0.19,M1+,0.10253540264064998,0.0020993779827038206
0.2,M1+,0.09754172304916554,-0.010374379792512406
0.21000000000000002,M1+,0.09439714975762661,-0.023163928903810027
0.22000000000000003,M1+,0.09291835814163285,-0.036281415171807635
0.23000000000000004,M1+,0.08889982367654897,-0.04973961536884408
0.24000000000000005,M1+,0.08437195831256084,-0.06355197872896048
0.25000000000000006,M1+,0.08314539167042549,-0.07773267177867996
0.26000000000000006,M1+,0.081239561618452,-0.09229662680271619
0.27,M1+,0.07992412305905179,-0.10725959429316431
0.28,M1+,0.07510148849797021,-0.1226381997694583
0.29000000000000004,M1+,0.07352277852954442,-0.13845000540001404
0.30000000000000004,M1+,0.07397383852052322,-0.15471357690572854
0.31000000000000005,M1+,0.07116942205487242,-0.17144855628117392
0.32000000000000006,M1+,0.06948977155138103,-0.18867574093236764
0.33,M1+,0.06931512935996606,-0.20641716990150746
0.34,M1+,0.06756331925479422,-0.22469621793031816
0.35000000000000003,M1+,0.06623642482911765,-0.2435376982061692
0.36000000000000004,M1+,0.06450157870996842,-0.2629679747406406
0.37000000000000005,M1+,0.06417939300212641,-0.28301508545080956
0.38000000000000006,M1+,0.06368676066174865,-0.3037088771516291
0.39000000000000007,M1+,0.061736063355442655,-0.325081153826246
0.4000000000000001,M1+,0.059990978800180415,-0.34716583972335013
0.4100000000000001,M1+,0.057177587670007565,-0.36999915904069514
0.42000000000000004,M1+,0.05600920784533309,-0.393619834196569
0.43000000000000005,M1+,0.05544081222451709,-0.4180693049719474
0.44000000000000006,M1+,0.052806237515303805,-0.4433919711321608
0.45000000000000007,M1+,0.053020051666871695,-0.4696354615163819
0.4600000000000001,M1+,0.0520890759952555,-0.4968509330259445
0.4700000000000001,M1+,0.049522982783125245,-0.5250934034603963
0.4800000000000001,M1+,0.04798584365566773,-0.5544221227577117
0.49000000000000005,M1+,0.04469031636109563,-0.5849009879098236
0.5000000000000001,M1+,0.04330175913396482,-0.6165990076680203
